group1,group2,channel,description
2 Fermion,,CDST,ShortDST ccbar --> D**0 X --> D*+ pi- X--> (K3pi)pi+ pi- X  ; BAST
Susy,,CHARSUSY,SUSYGEN212 charginos  with different SUSY parameters Extended Short DST simulation a0_s1 207 
Susy,,CLSP,"XShortDST e+e- --> stop+stop, stop --> c+lsp                 WIEN;"
2 Fermion,,CMPT,"LongDST Compton, e e -->e e + gamma      :     ANA96E Fix 1 ; RUTH"
Higgs,,CSCS,XShortDST e+e- --> H+H- --> cscs          HZHA03             SACL; 
Higgs,,CSTN,XShortDST e+e- --> H+H- --> cstaunu       HZHA03             SACL; 
2 Fermion,,DSFB,ShortDST C decays with DS --> phi pi and phi -- K+ K-        ;BAST
2 Fermion,,DSFC,C decays with DS --> phi pi and phi --> K+ K-    (94C2)    ; BAST
2 Fermion,,DSKB,ShortDST B decays with DS --> K*0 and K*0 --> K+ pi-         ;BAST
2 Fermion,,DSKC,C decays with DS --> K*0 K and K*0 --> K+ pi-    (94C2)    ; BAST
2 Fermion,,DSKS,ShortDST D+s1 -> D* + K0 -> (k-pi+)pi + K0;  Sim.94  Fix 2  ; BAST   
2 Fermion,,DSSA,B decays with D**0 -->D*+ -->D0 -->K0s pi+ pi- Gas 92E      ; BAST
2 Fermion,,DSSB,B decays with D**0 -->D*+ -->D+ -->K- pi+ pi-    Liq 92E    ; BAST
2 Fermion,,DSSC,B decays with D**0 -->D*+ -->D0 -->K-  pi+     Gas 92E      ; BAST
2 Fermion,,DSSD,"B decays with D+,D** ->D*+ -->D+ -->K- pi+ pi+   Liq 92E    ; BAST"
2 Fermion,,DSSE,B decays with D** -->D*+ -->D0 -->K- pi+ pi+ pi+ Gas 92E    ; BAST
2 Fermion,,DSSF,"B decays with D0,D*,D**  -->D0 -->K0s pi+ pi-    Gas 93D    ; BAST"
2 Fermion,,DSSG,"B decays with D0,D*,D**  -->D0 -->K- pi+ pi+ pi- Gas 92E    ; BAST"
2 Fermion,,DSSH,B decays with D0 -->K pi                          Gas 93D   ; BAST
