group1,group2,channel,description
Higgs,,HZHA03PYTH6156HA4G_E200_M110_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M110_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M120_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M120_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M120_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M12_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M12_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M12_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M130_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M130_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M130_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M140_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M140_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M140_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M150_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M150_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M150_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M160_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M160_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M160_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M170_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M170_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M170_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M20_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M20_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M20_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M30_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M30_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M30_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M40_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M40_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M40_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M50_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M50_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M50_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M60_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M60_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M60_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M70_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M70_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M70_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M80_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M80_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M80_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M90_M12,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M90_M4,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E200_M90_M8,"Full DST/Delana output simulation 99_a 200 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M100_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M100_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M100_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M110_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M110_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M110_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M120_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M120_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M120_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M12_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M12_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M12_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M130_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M130_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M130_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M140_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M140_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M140_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M150_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M150_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M150_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M160_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M160_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M160_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M170_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M170_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M170_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M20_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M20_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M20_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M30_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M30_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M30_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M40_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M40_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M40_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M50_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M50_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M50_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M60_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M60_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M60_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M70_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M70_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M70_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M80_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M80_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M80_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M90_M12,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M90_M4,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4G_E206_M90_M8,"Full DST/Delana output simulation 99_a 206 , CERN"
Higgs,,HZHA03PYTH6156HA4T,"Extended Short DST simulation 98e  done at ecm=188.6 GeV , CERN"
Higgs,,HZHA03PYTH6156HA50,"XShortDst HZHA03  e+e- --> hA ->4b, tan beta = 50 Extended Short DST simulation 98_e1 done at ecms=188.6 , CERN"
Higgs,,HZHA03PYTH6156HA50BBTT,"Extended Short DST simulation 98_e1 done at ecms=188.6 , CERN"
Higgs,,HZHA03PYTH6156HA50TTBB,"XShortDst HZHA03  e+e- --> hA ->tautaubbbar, tan beta = 50 Extended Short DST simulation 98_e1 done at ecms=188.6 , CERN"
Higgs,,HZHA03PYTH6156HA6B,"Extended Short DST simulation 99a1 done at ecms=199.5 , CERN"
Higgs,,HZHA03PYTH6156HA6B_E199.5_M30_M12,"Full DST/Delana output simulation 99a done at ecms=199.5 , CERN"
Higgs,,HZHA03PYTH6156HA6B_E199.5_M50_M12,"Full DST/Delana output simulation 99a done at ecms=199.5 , CERN"
Higgs,,HZHA03PYTH6156HABBTT,"Extended Short DST simulation 98_e1 done at ecms=188.6 , CERN"
Higgs,,HZHA03PYTH6156HATTBB,"Extended Short DST simulation 98_e1 done at ecms=188.6 , CERN"
Higgs,,HZHA03PYTH6156HCEE,"Extended Short DST simulation 98_e1 done at ecms=188.6 , Lyon"
Higgs,,HZHA03PYTH6156HCMM,"Extended Short DST simulation 98_e1 done at ecms=188.6 , RAL"
Higgs,,HZHA03PYTH6156HCNN,"Extended Short DST simulation 98_e1 done at ecms=188.6 , Karlsruhe"
Higgs,,HZHA03PYTH6156HCQQ,"Extended Short DST simulation 98_e1 done at ecms=188.6 , Karlsruhe"
Higgs,,HZHA03PYTH6156HGEE,"XShortDst HZHA03 H->gluglu, Z->e+e-  Extended Short DST simulation 98_e1 done at ecms=188.6 , Lyon"
Higgs,,HZHA03PYTH6156HGMM,"XShortDst HZHA03 H->gluglu, Z->mu+mu-  Extended Short DST simulation 98_e1 done at ecms=188.6 , RAL"
Higgs,,HZHA03PYTH6156HGNN,"XShortDst HZHA03 H->gluglu, Z->nunubar  Extended Short DST simulation 98_e1 done at ecms=188.6 , Karlsruhe"
Higgs,,HZHA03PYTH6156HGQQ,"XShortDst HZHA03 H->gluglu, Z->qqbar  Extended Short DST simulation 98_e1 done at ecms=188.6 , Karlsruhe"
Higgs,,HZHA03PYTH6156HINVEE,"Extended Short DST simulation 98_e1 done at ecms=188.6 , RAL"
Higgs,,HZHA03PYTH6156HINVMU,"Extended Short DST simulation 98_e1 done at ecms=188.6 , RAL"
Higgs,,HZHA03PYTH6156HINVQQ,"Extended Short DST simulation 98_e1 done at ecms=188.6 , RAL"
Higgs,,HZHA03PYTH6156HINVTT,"Extended Short DST simulation 98_e1 done at ecms=188.6 , RAL"
Higgs,,HZHA03PYTH6156HSEE,"XShortDst HZHA03 H->ssbar, Z->e+e-  Extended Short DST simulation 98_e1 done at ecms=188.6 , Lyon"
Higgs,,HZHA03PYTH6156HSMM,"XShortDst HZHA03 H->ssbar, Z->mu+mu-  Extended Short DST simulation 98_e1 done at ecms=188.6 , RAL"
Higgs,,HZHA03PYTH6156HSNN,"XShortDst HZHA03 H->ssbar, Z->nunubar  Extended Short DST simulation 98_e1 done at ecms=188.6 , Karlsruhe"
Higgs,,HZHA03PYTH6156HSQQ,"XShortDst HZHA03 H->ssbar, Z->qqbar  Extended Short DST simulation 98_e1 done at ecms=188.6 , Karlsruhe"
Higgs,,HZHA03PYTH6156HWQQLNQQ,"Extended Short DST simulation 99e1 done at ecms=195.5 , RAL"
Higgs,,HZHA03PYTH6156HWQQQQNN,"Extended Short DST simulation 99e1 done at ecms=195.5 , RAL"
Higgs,,HZHA03PYTH6156HWQQQQQQ,"Extended Short DST simulation 99e1 done at ecms=195.5 , Lyon"
Higgs,,HZHA03PYTH6156HZBQ,"Extended Short DST simulation 99e1 done at ecms=199.5 , CERN"
Higgs,,HZHA03PYTH6156HZCQ,"Extended Short DST simulation 99e1 done at ecms=199.5 , CERN"
Higgs,,HZHA03PYTH6156HZEE,"XShortDst HZHA03  e+e- --> HZ (H ->  any  Z-> e+e-)(HZ+interference+fusion) Extended Short DST simulation 98_e1 done at ecms=188.6 , CERN"
Higgs,,HZHA03PYTH6156HZMU,"XShortDst HZHA03  e+e- --> HZ (H ->  any  Z -> mu+mu-) Extended Short DST simulation 98_e1 done at ecms=188.6 , CERN"
Higgs,,HZHA03PYTH6156HZNU,"XShortDst HZHA03  e+e- --> HZ (H ->  any Z -> nu nubar)(HZ+interference+fusion) Extended Short DST simulation 98_e1 done at ecms=188.6 , CERN"
Higgs,,HZHA03PYTH6156HZQQ,"XShortDst HZHA03  e+e- --> HZ (H ->  any but tau Z -> q qbar) Extended Short DST simulation 98_e1 done at ecms=188.6 , CERN"
Higgs,,HZHA03PYTH6156HZTT,"XShortDst HZHA03  e+e- --> HZ (H ->  any but tau Z -> tau+tau-) Extended Short DST simulation 98_e1 done at ecms=188.6 , CERN"
Higgs,,HZHA03PYTH6156HZVC,"HZHA03  e+e- --> hZ -> nu nu c c Extended Short DST simulation 98e  done at ecm=188.6 GeV , CERN"
Higgs,,HZHA03PYTH6156HZVG,"HZHA03  e+e- --> hZ -> nu nu gluon gluon Extended Short DST simulation 98e  done at ecm=188.6 GeV , CERN"
Higgs,,HZHA03PYTH6156HZVS,"HZHA03  e+e- --> hZ -> nu nu s s Extended Short DST simulation 98e  done at ecm=188.6 GeV , CERN"
Higgs,,HZHA03PYTH6156TTZ,"XShortDst HZHA03  e+e- --> HZ (H ->  tau+tau- Z -> q qbar) Extended Short DST simulation 98_e1 done at ecms=188.6 , CERN"
Higgs,,HZHA03PYTHIA6156BBTT,"Short DST simulation 94c2 done at ecms=91.2 , CERN"
Higgs,,HZHA03PYTHIA6156TTTT,"Short DST simulation 94c2 done at ecms=91.2 , CERN"
Higgs,,HZHAHPHMWATN,"Extended Short DST simulation 98e1 done at ecms=188.7 , CERN"
Higgs,,HZHAHPHMWAWA,"Extended Short DST simulation 98e1 done at ecms=188.7 , CERN"
Higgs,,HZLM,"XShortDST e+e- --> hZ (h->bbbar, Z-> qqbar)   HZHA03  m(A)   SACL; "
Higgs,,HZMU,"XShortDST  e+e- --> hZ (h -> any , Z -> mumu)                SACL;"
Higgs,,HZNU,"XshortDST e+e- --> hZ (h -> any, Z -> nunu)                  SACL; "
Higgs,,HZQQ,"XShortDST e+e- -> hZ (h->any, Z->qqbar) ;Sim.97 ANA97A Fix 1 ;SACL"
Higgs,,HZTT,XShortDST  e+e- --> HZ --> Htautau                           SACL;
2 Fermion,,KK2F4143MMNOIFI,"Extended Short DST simulation 98_e1 done at ecms=188.6 , RAL"
2 Fermion,,KK2F4143MUMU,"raw data simulation raw data  done at ecm=91.25 GeV , CERN"
2 Fermion,,KK2F4143MUMU_E200,"Full DST/Delana output simulation 99_a 200 , CERN"
2 Fermion,,KK2F4143MUMU_E91.25,"Full DST/Delana output simulation 97g  done at ecm=91.25 GeV , CERN"
2 Fermion,,KK2F4143QQ,"Extended Short DST simulation 97_g1 done at ecms=182.7 , Lyon"
2 Fermion,,KK2F4143QQSTRIP,Extended Short DST simulation 97_g1 done at ecms=182.7 
2 Fermion,,KK2F4144QQAR,"Extended Short DST simulation 99e1 done at ecms=191.6 , RAL"
2 Fermion,,KK2F4144QQAR_E91.25,"Full DST/Delana output simulation a0e  done at ecm=91.25 GeV , CERN"
2 Fermion,,KK2F4144TTHL,"Extended Short DST simulation 97_g1 done at ecms=182.7 , RAL"
2 Fermion,,KK2F4144TTSP,"Extended Short DST simulation 98_e1 done at ecms=188.6 , RAL"
2 Fermion,,KK2F4145QQHW,"Extended Short DST simulation a0_e1 done at ecms=206.5 , Lyon"
2 Fermion,,KK2F4145QQPY,"Short DST simulation 94c2 done at ecms=91.25 , CERN"
2 Fermion,,KK2F4145QQPYBE32,"Short DST simulation 94c2 done at ecms=91.25 , Lyon"
2 Fermion,,KK2F4145QQPYBE321,"Short DST simulation 94c2 done at ecms=91.25 , Lyon"
2 Fermion,,KK2F4146BBARDCY,"Short DST simulation 94c2 done at ecms=91.25 , RAL"
2 Fermion,,KK2F4146QQARDCY,"Short DST simulation 95d2 130 , CERN"
2 Fermion,,KK2F4146QQPY,"Short DST simulation 92e2 done at ecms=91.25 , CERN"
2 Fermion,,KK2F4146QQPYBE321,"Short DST simulation 93d2 done at ecms=91.25 , CERN"
2 Fermion,,KK2F4146QQPYBSW,"Short DST simulation 94c2 done at ecms=91.25 , CERN"
2 Fermion,,KK2F4146QQPYDCY,"Short DST simulation 94c2 done at ecms=91.25 , CERN"
2 Fermion,,KK2F4146SIGMAQHIGHQQ,"Extended Short DST simulation 98e1 done at ecms=91.25 , CERN"
2 Fermion,,KK2F4146SIGMAQLOWQQ,"Extended Short DST simulation 98e1 done at ecms=91.25 , CERN"
2 Fermion,,KK2F4146TTHL,"Short DST simulation 94c2 done at ecms=89.437 , CERN"
2 Fermion,,KK2F414QQ,"Extended Short DST simulation 99_a1 done at ecms=91.25 , CERN"
2 Fermion,,KKMM414,"Extended Short DST simulation 99_a1 done at ecms=188.6 , CERN"
2 Fermion,,KKQQ414,"Extended Short DST simulation 99_a1 done at ecms=188.6 , CERN"
2 Fermion,,KORA,LongDST Tau pairs+ISR (KORALZ38); Sim. of 93 (gas) ANA93C F1; BAST
2 Fermion,,KORALWCETRAROAC0,"Extended Short DST simulation 98_e1 done at ecms=188.6 , CERN"
2 Fermion,,KORALWCETRAROAC2,"Extended Short DST simulation 98_e1 done at ecms=188.6 , CERN"
2 Fermion,,KORALWCETRAROHC0,"Extended Short DST simulation 98e1 done at ecms=188.6 , CERN"
2 Fermion,,KORALWCETRAROHC1,"Extended Short DST simulation 98e1 done at ecms=188.6 , CERN"
2 Fermion,,KORALWCETRAROJT,"Extended Short DST simulation 98_e1 done at ecms=188.6 , CERN"
2 Fermion,,KORALWCETRAROJTSKI,"Extended Short DST simulation 98e1 done at ecms=188.6 , CERN"
2 Fermion,,KORALWCETRARONAC21,"Extended Short DST simulation 98_e1 done at ecms=188.6 , CERN"
2 Fermion,,KORALWCETRAROPBA,"Extended Short DST simulation 98e1 done at ecms=188.6 , CERN"
2 Fermion,,KORALWCETRAROPBB,"Extended Short DST simulation 98e1 done at ecms=188.6 , CERN"
2 Fermion,,KORALWCETRAROPBI,"Extended Short DST simulation 98e1 done at ecms=188.6 , CERN"
2 Fermion,,KORALZ402KORA,Extended Short DST simulation 98_e1 done at ecms=91.2 
2 Fermion,,KORALZ402VVKZ,Extended Short DST simulation 97g1 done at ecms=183.5 
2 Fermion,,KORALZ42KORA,"Extended Short DST simulation a0_u1 done at ecms=091.2 , RAL"
2 Fermion,,KOZ4,KORALZ40 Tau Pairs generator Delsim v94_4 Delana 94C       ; BAST
2 Fermion,,KW142319FEB01,"XSHORT KoralW 1.424 from 19 Feb. 2001 at 200GeV testsample Extended Short DST simulation 99_a1 200 , CERN"
2 Fermion,,LCKB,ShortDST C decays with LambaC --> p K pi                     ;BAST
2 Fermion,,LCKC,B decays with LambdaC --> p K pi                 (94C2)    ; BAST
2 Fermion,,LLLL,LongDST e+e- --> l+l- l+l-     ;Sim. 95C DELANA(liq) Fix 2 ; RUTH
2 Fermion,,LLQQ,LongDST e+e- -> l+ l- q q~  ; Sim. of 95C DELANA(liq) Fix 2 ; RUTH
2 Fermion,,LVLV,LongDST e+e- --> lv lv         ;Sim. 95C DELANA(liq) Fix 2 ; RUTH
2 Fermion,,LVQQ,"ShortDST; LVQQ cross-section = 0.0094 +- 0.0001 pb Short DST simulation 92_e2 gas done at ecms=91.25 , RAL"
2 Fermion,,MMPY,"LongDST Z0Gamma, Z0 -> mu+ mu-                 ANA96E Fix 1 ; RUTH"
2 Fermion,,MMQQ,LongDST e+e- --> mu+mu- q qbar; Sim. 95C DELANA(liq) Fix 2 ; RUTH
2 Fermion,,MUMU,LongDST mu+ mu-  (KORALZ)   ; Sim. of 95C DELANA(liq) Fix 2 ; RUTH
2 Fermion,,MVEV,XShortDST e+e- --> mu nu e ni for cos(theta e)>0.9999         RAL;    
2 Fermion,,MVQQ,LongDST e+e- --> muv q qbar  ;  Sim. 95C DELANA(liq) Fix 2 ; RUTH
Susy,,NECG,XShortDST e+e- -> chi02 chi02 -> (chi01 gamma)(chi01 gamma)  FARM; 
2 Fermion,,PHOJET110QQ,"Extended Short DST simulation 99_e1 done at ecms=199.5 , CERN"
Higgs,,PYTH6156HPPHMM,"Extended Short DST simulation 99_a1 done at ecms=208.0 , RAL"
Higgs,,PYTH6156HPPHMML,"Extended Short DST simulation 98_e1 done at ecms=188.7 , CERN"
Higgs,,PYTH6156HPPHMMR,"Extended Short DST simulation 98_e1 done at ecms=188.7 , CERN"
2 Fermion,,PYTHIA,mass production during the jeune genevois 2000  simulation   
Higgs,,PYTHIA5720YUKABBTT,"Short DST simulation 94c2 done at ecms=91.2 , CERN"
Higgs,,PYTHIA5720YUKATTTT,"Short DST simulation 94c2 done at ecms=91.2 , CERN"
Higgs,,PYTHIA5720YUKHBBTT,"Short DST simulation 94c  done at ecm=91.2 GeV , CERN"
Higgs,,PYTHIA5720YUKHTTTT,"Short DST simulation 94c2 done at ecms=91.2 , CERN"
EEGG,,QEDBK23EEGG,Extended Short DST simulation 97g1 done at ecms=183.5 
2 Fermion,,QQAR,ShortDST QQbar with Ariadne; Sim. of 94 (liq) ANA94C Fix 2  ; FARM
2 Fermion,,QQBB,XShortDST e+e- -> WW -> qqbb PYTHIA6.131 DELPHI Mar 95 tune   RAL; 
2 Fermion,,QQEE,XShortDST e+e- -> qqee    Exalibur 0.91    ANA97F            SACL; 
2 Fermion,,QQHR,LongDST e+ e- -> Z0/gam  HERWIG5.8d Delphi Tune             ;RUTH
2 Fermion,,QQKZ,XShortDST Z0 --> qqbar  with Koralz  ; Sim. 97 ANA97A Fix 1 ; RUTH 
2 Fermion,,QQMM,"XShortDST e+e- --> mu+mu-qqbar by EXCALIBUR 1,08 MW=80.35    SACL; "
2 Fermion,,QQMU,XShortDST e+e- -> qqmumu  Exalibur 0.91    ANA97F            SACL; 
2 Fermion,,QQNN,XShortDST e+e- --> nu nu qqbar by EXCALIBUR 2.01 MW=80.35    SACL; 
2 Fermion,,QQPO,ShortDST QQbar ( off peak ); Sim. of 95 (liq) ANA95C Fix 2  ; BAST
2 Fermion,,QQPS,LongDST qqbar PS            Sim. of 96         ANA96E Fix 1 ; RUTH
2 Fermion,,QQPS_E91.2,"raw data simulation raw data done at ecms=91.2 , CERN"
2 Fermion,,QQQQ,LongDST e+e- -> q q~ q q~   ; Sim. of 95C DELANA(liq) Fix 2 ; RUTH
2 Fermion,,QQTT,XShortDST  e+e- --> qqtautau by EXALIBUR 1.8   MW=80.35      SACL;
2 Fermion,,QQVV,XShortDST e+e- --> qqbarnunu by EXALIBUR 2.01                SNAK; 
2 Fermion,,RACOONWW12MVUD,"Extended Short DST simulation 98e1 done at ecms=188.6 , CERN"
2 Fermion,,RACOONWW12SCUD,"Extended Short DST simulation 98e1 done at ecms=188.6 , CERN"
2 Fermion,,RACOONWW13MVUD,"Extended Short DST simulation 98e  done at ecm=188.6 GeV , CERN"
2 Fermion,,RACOONWW13SCUD,"Extended Short DST simulation 98e  done at ecm=188.6 GeV , CERN"
Susy,,RCH1,"XShortDST e+e- -> chargino pair production, with RPV UDD     SNAK; "
Susy,,RNE1,"XShortDST e+e- -> neutralino pair production, with RPV UDD   SNAK; "
Susy,,SBOD,"XShortDST e+e- -> sbottom pair production, with RPV UDD      SNAK; "
Susy,,SBOI,"XShortDST e+e- -> sbottom pair production, with RPV UDD      SNAK; "
Susy,,SBOT,XShortDST e+e- -> sbot sbotbar (SUSY)                        SNAK; 
Higgs,,SCAN,"ShortDST higgs  Short DST simulation 94_c2 done at ecms=91.25 , Snak"
Susy,,ST3B,"XShortDST e+e- --> stop+stop, stop --> b l sneutrino         WIEN;"
Susy,,STOP,LongDST Signal stop->c+LSP; R-parity conserv.  ANA96E Fix 1 ; WIEN
Susy,,SUSY,LongDST SUSY signal        ; Sim. of 95B- DELANA(liq) Fix 1 ; RUTH
Susy,,SUSYGEN200,"Extended Short DST simulation 99_a1 189 , CERN"
Susy,,SUSYGEN212CHANEU,"Extended Short DST simulation 99_a1 196 , CERN"
Susy,,SUSYGEN212CHANEU_E196,"Full DST/Delana output simulation 99_a 196 , CERN"
Susy,,SUSYGEN212CHANEU_E200,"Full DST/Delana output simulation 99_a 200 , CERN"
Susy,,SUSYGEN212CHANEU_E207,"Full DST/Delana output simulation 00_s 207 , CERN"
Susy,,SUSYGEN212CHASNU,"Extended Short DST simulation 99_a1 207 , CERN"
